Item	Descrição (Item)	Subgrupo de itens - Descrição (Sub Grupo)
10.02.0039	FITA BORDA 19X0.45MM SANTIAGO	BORDA
10.02.0040	FITA BORDA 19X0.45MM BRANCO	BORDA
10.02.1001	FITA BORDA 19X1.0MM BRANCO	BORDA
10.02.1002	FITA BORDA 19X1.0MM MOCCA	BORDA
10.02.1003	FITA BORDA 35X1.0MM MOCCA	BORDA
10.02.1005	FITA BORDA 22X1.0MM BRANCO	BORDA
10.02.1014	FITA BORDA 29X1.0MM BRANCO	BORDA
10.02.1015	FITA BORDA 29X1.0MM MOCCA	BORDA
10.02.1018	FITA BORDA 45X1.0MM BRANCO	BORDA
10.02.1022	FITA BORDA 19X1.0MM CHAMOIS	BORDA
10.02.1023	FITA BORDA 22X1.0MM CHAMOIS	BORDA
10.02.1024	FITA BORDA 29X1.0MM CHAMOIS	BORDA
10.02.1041	FITA BORDA 22X1.0MM AMEIXA NEGRA	BORDA
10.02.1043	FITA BORDA 29X1.0MM AMEIXA NEGRA	BORDA
10.02.1045	FITA BORDA 22X1.0MM C. BRANCO DIAMANTE	BORDA
10.02.1046	FITA BORDA 22X1.0MM LINEO TEXTIL	BORDA
10.02.1049	FITA BORDA 22X1.0MM C. GIANDUIA	BORDA
10.02.1055	FITA BORDA 22X1.0MM C. PRETO	BORDA
10.02.1072	FITA BORDA 45X1.00MM LINEO TEXTIL	BORDA
10.02.1073	FITA BORDA 19X1.0MM LOURO FREIJO	BORDA
10.02.1074	FITA BORDA 22X1.0MM LOURO FREIJO	BORDA
10.02.1075	FITA BORDA 29X1.0MM LOURO FREIJO	BORDA
10.02.1076	FITA BORDA 45X1.0MM LOURO FREIJO	BORDA
10.02.1078	FITA BORDA 19X1.0MM CARVALHO MEL	BORDA
10.02.1079	FITA BORDA 29X1.0MM CARVALHO MEL	BORDA
10.02.1082	FITA BORDA 35X1.0MM BRANCO	BORDA
10.02.1083	FITA BORDA 35X1.0MM CRISTALLO BRANCO DIAMANTE	BORDA
10.02.1086	FITA BORDA 35X1.0MM CRISTALLO GIANDUIA	BORDA
10.02.1087	FITA BORDA 35X1.0MM LINEO TEXTIL	BORDA
10.02.1091	FITA BORDA 19X1.0MMM AMEIXA NEGRA	BORDA
10.02.1092	FITA BORDA 45X1.0MM CRISTALLO CINZA SAGRADO	BORDA
10.02.1093	FITA BORDA 45X1.0MM MARMO	BORDA
10.02.1094	FITA BORDA 45X1.0MM PETRA	BORDA
10.02.1095	FITA BORDA 45X1.0MM NOGUEIRA CAIENA	BORDA
10.02.1096	FITA BORDA 45X1.0MM BRONZE	BORDA
10.02.1097	FITA BORDA 22X1.0MM BRONZE	BORDA
10.02.1099	FITA BORDA 45X1.0MM FOG	BORDA
10.02.1100	FITA BORDA 22X1.0MM C. CINZA SAGRADO	BORDA
10.02.1101	FITA BORDA 22X1.0MM FOG	BORDA
10.02.1102	FITA BORDA 22X1.0MM MARMO	BORDA
10.02.1103	FITA BORDA 22X1.0MM PETRA	BORDA
10.02.1104	FITA BORDA 22X1.0MM NOGUEIRA CAIENA	BORDA
10.02.1106	FITA BORDA 42X1.0MM C. OPALA	BORDA
10.02.1107	FITA BORDA 22X1.0MM C. OPALA	BORDA
10.02.1110	FITA BORDA 29X1.0MM CARVALHO MEL	BORDA
10.02.1114	FITA BORDA 45X1.0MM CRISTALLO BRANCO DIAMANTE	BORDA
10.02.1115	FITA BORDA 45X1.0MM CRISTALLO PRETO	BORDA
10.02.1117	FITA BORDA 45X1.0MM CRISTALLO GIANDUIA	BORDA
10.02.1124	FITA BORDA 45X1.0MM AMEIXA NEGRA	BORDA
10.02.1128	FITA BORDA 45X1.0MM LOURO FREIJO	BORDA
10.02.1129	FITA BORDA 45X1.0MM CARVALHO MEL	BORDA
10.02.1130	FITA BORDA 22X1.0MM MILKSHAKE	BORDA
10.02.1131	FITA BORDA 19X1.0MM GRIGIO	BORDA
10.02.1132	FITA BORDA 29X1.0MM GRIGIO	BORDA
10.02.1133	FITA BORDA 45X1.0MM GRIGIO	BORDA
10.02.1135	FITA BORDA 22X1.0MM GRIGIO	BORDA
10.02.1136	FITA BORDA 35X1.0MM MILKSHAKE	BORDA
10.02.1137	FITA BORDA 45X1.0MM MILKSHAKE	BORDA
10.02.1138	FITA BORDA 35X1.0MM CRISTALLO OPALA	BORDA
10.02.1139	FITA BORDA 35X1.0MM CRISTALLO CINZA SAGRADO	BORDA
10.02.1141	FITA BORDA 22X1.0MM AZUL PETROLEO	BORDA
10.02.1142	FITA BORDA 35X1.0MM AZUL PETROLEO	BORDA
10.02.1143	FITA BORDA 45X1.0MM AZUL PETROLEO	BORDA
10.02.1144	FITA BORDA 19X1.0MM BIANCO RAVENA	BORDA
10.02.1145	FITA BORDA 22X1.0MM BIANCO RAVENA	BORDA
10.02.1146	FITA BORDA 29X1.0MM BIANCO RAVENA	BORDA
10.02.1147	FITA BORDA 45X1.0MM BIANCO RAVENA	BORDA
10.02.1148	FITA BORDA 19X1.0MM SANTIAGO	BORDA
10.02.1149	FITA BORDA 22X1.0MM SANTIAGO	BORDA
10.02.1150	FITA BORDA 29X1.0MM SANTIAGO	BORDA
10.02.1151	FITA BORDA 45X1.0MM SANTIAGO	BORDA
10.02.1152	FITA BORDA 35X1.0MM SANTIAGO	BORDA
10.02.1153	FITA BORDA 22X1.0MM ASTI	BORDA
10.02.1154	FITA BORDA 45X1.0MM ASTI	BORDA
10.02.1155	FITA BORDA 35X1.0MM ASTI	BORDA
10.02.1156	FITA BORDA 22X1.0MM GLAMOUR	BORDA
10.02.1157	FITA BORDA 45X1.0MM GLAMOUR	BORDA
10.02.1158	FITA BORDA 35X1.0MM GLAMOUR	BORDA
10.02.1159	FITA BORDA 22X1.0MM CARVALHO NATURAL	BORDA
10.02.1160	FITA BORDA 45X1.0MM CARVALHO NATURAL	BORDA
10.02.1161	FITA BORDA 22X1.0MM AMAZONIA	BORDA
10.02.1162	FITA BORDA 35X1.0MM AMAZONIA	BORDA
10.02.1163	FITA BORDA 45X1.0MM AMAZONIA	BORDA
10.02.1164	FITA BORDA 22X1.0MM CARVALHO MEL	BORDA
10.02.1165	FITA BORDA 22X1.0MM MANHATTAN	BORDA
10.02.1171	FITA BORDA 22X1.0MM GAIA	BORDA
10.02.1179	FITA BORDA 22X1.0MM CAMELO	BORDA
10.02.1180	FITA BORDA 35X1.0MM CAMELO	BORDA
10.02.1181	FITA BORDA 45X1.0MM CAMELO	BORDA
10.02.1182	FITA BORDA 22X1.0MM VULCANO	BORDA
10.02.1183	FITA BORDA 45X1.0MM VULCANO	BORDA
10.02.1184	FITA BORDA 22X1.0MM REALI	BORDA
10.02.1185	FITA BORDA 45X1.0MM REALI	BORDA
10.02.1186	FITA BORDA 45X1.0MM NIQUEL	BORDA
10.02.1187	FITA BORDA 22X1.0MM NIQUEL	BORDA
10.02.1188	FITA BORDA 22X1.0MM IMBUIA	BORDA
10.02.1189	FITA BORDA 45X1.0MM IMBUIA	BORDA
10.02.1190	FITA BORDA 22X1.0MM CINZA PURO	BORDA
10.02.1191	FITA BORDA 35X1.0MM CINZA PURO	BORDA
10.02.1192	FITA BORDA 45X1.0MM CINZA PURO	BORDA
10.02.1193	FITA BORDA 19X1.0MM FRAPE	BORDA
10.02.1194	FITA BORDA 22X1.0MM FRAPE	BORDA
10.02.1195	FITA BORDA 29X1.0MM FRAPE	BORDA
10.02.1196	FITA BORDA 35X1.0MM FRAPE	BORDA
10.02.1197	FITA BORDA 45X1.0MM FRAPE	BORDA
10.02.1198	FITA BORDA 19X0.45MM FRAPE	BORDA
10.02.1200	FITA BORDA 19X0.45MM GRAFITO	BORDA
10.02.1201	FITA BORDA 19X1.0MM GRAFITO	BORDA
10.02.1202	FITA BORDA 29X1.0MM GRAFITO	BORDA
10.02.1203	FITA BORDA 35X1.0MM GRAFITO	BORDA
10.02.1204	FITA BORDA 22X1.0MM EBANO CHESS	BORDA
10.02.1205	FITA BORDA 45X1.0MM GRAFITO	BORDA
10.02.1207	FITA BORDA 45X1.0MM EBANO CHESS	BORDA
10.02.1208	FITA BORDA 22X1.0MM GRAFITO	BORDA
10.02.1209	FITA BORDA 29X1.0MM EBANO CHESS	BORDA
10.02.1210	FITA BORDA 22X1.0MM MINT	BORDA
10.02.1211	FITA BORDA 35X1.0MM MINT	BORDA
10.02.1212	FITA BORDA 45X1.0MM MINT	BORDA
10.02.1213	FITA BORDA 19X1.0MM BEIGE	BORDA
10.02.1214	FITA BORDA 29X1.0MM BEIGE	BORDA
10.02.1215	FITA BORDA 45X1.0MM BEIGE	BORDA
10.02.1216	FITA BORDA 22X1.0MM DEVA	BORDA
10.02.1217	FITA BORDA 45X1.0MM DEVA	BORDA
10.02.1218	FITA BORDA 22X1.0MM BEIGE	BORDA
10.02.1219	FITA BORDA 22X1.0MM DAMASCO	BORDA
10.02.1220	FITA BORDA 45X1.0MM DAMASCO	BORDA
10.02.1221	FITA BORDA 35X1.0MM DAMASCO	BORDA
10.02.1222	FITA BORDA 35X1.0MM CARVALHO MEL	BORDA
10.02.1223	FITA BORDA 35X1.0MM CRISTALLO PRETO	BORDA
10.02.1224	FITA BORDA 35X1.0MM LOURO FREIJO	BORDA
10.02.1225	FITA BORDA 35X1.0MM PETRA	BORDA
10.02.1226	FITA BORDA 35X1.0MM BRONZE	BORDA
