Item;Descrição (Item);Subgrupo de itens - Descrição (Sub Grupo)
0;Cristallo Acqua - MDF  - 18;PAINEL
1;Branco - MDF  - 15;PAINEL
2;Cristallo Branco - MDF  - 18;PAINEL
4;Cristallo Preto - MDF  - 18;PAINEL
5;Cristallo Trufa - MDF  - 18;PAINEL
6;Branco - MDF  - 18;PAINEL
8;Coll - MDF  - 25;PAINEL
9;Montego Blanc - MDF  - 25;PAINEL
10;Rust - MDF  - 18;PAINEL
11;Mood - MDF  - 18;PAINEL
12;Cristalo Gianduia - MDF  - 18;PAINEL
13;Onix - MDF  - 25;PAINEL
14;Vintage - MDF  - 25;PAINEL
15;Chamois - MDP  - 18;PAINEL
16;Lineo Textil - MDF  - 18;PAINEL
17;Ameixa Negra - MDF  - 25;PAINEL
18;Cru  - 25;PAINEL
19;Hunter - MDF  - 18;PAINEL
20;Hunter - MDF  - 25;PAINEL
21;Montego BLac MDF 1F  - 6;PAINEL
22;Cristallo Cinza Sagrado - MDF  - 18;PAINEL
24;Montego Blanc - MDF  - 15;PAINEL
25;Bianco Ravena - MDF  - 15;PAINEL
26;Azul Petroleo - MDF  - 18;PAINEL
27;Branco - MDF  - 25;PAINEL
28;Branco - MDP  - 18;PAINEL
29;Bianco Ravena - MDF  - 18;PAINEL
30;Cristallo Opala - MDF  - 18;PAINEL
31;Nogueira Caiena - MDF  - 18;PAINEL
32;Bronze - MDF  - 18;PAINEL
33;Cristallo Álamo - MDF  - 18;PAINEL
34;Branco - MDP  - 25;PAINEL
35;Branco - MDF  - 3;PAINEL
36;Bianco Ravena - MDF  - 25;PAINEL
37;Ebano - MDF  - 18;PAINEL
38;Nogueira - MDF  - 18;PAINEL
39;Nogueira San Remo - MDP FF  - 15;PAINEL
40;Vintage - MDF  - 18;PAINEL
41;Branco - MDP  - 15;PAINEL
42;Chamois - MDP  - 15;PAINEL
43;Espresso - MDP  - 15;PAINEL
45;Espresso - MDP  - 25;PAINEL
46;Mocca - MDP  - 15;PAINEL
48;Mocca - MDP  - 25;PAINEL
50;Coll - MDF  - 18;PAINEL
51;Carv. Latino MDF 1F  - 6;PAINEL
52;Carv. Latino - MDF  - 15;PAINEL
53;Carv. Latino MDF  - 18;PAINEL
54;Carv. Latino - MDF  - 25;PAINEL
55;Grigio MDF 1F  - 6;PAINEL
56;Montego Blanc - MDF  - 18;PAINEL
57;Grigio - MDF  - 18;PAINEL
58;Ebano - MDF  - 15;PAINEL
59;Ebano MDF 1F  - 6;PAINEL
60;Ebano - MDF  - 25;PAINEL
61;Santiago - MDF  - 15;PAINEL
62;Santiago - MDF  - 18;PAINEL
63;Louro Freijo - MDF  - 18;PAINEL
64;Santiago - MDF  - 25;PAINEL
66;Carv. Mel - MDP  - 15;PAINEL
67;Carv. Mel - MDP  - 25;PAINEL
68;Grigio - MDP  - 15;PAINEL
69;Grigio - MDP  - 25;PAINEL
71;Chamois - MDF  - 15;PAINEL
72;Chamois - MDF  - 18;PAINEL
73;Chamois - MDF  - 25;PAINEL
74;Chamois - MDP  - 25;PAINEL
75;Asti - MDF  - 18;PAINEL
76;Fog - MDF  - 18;PAINEL
77;Onix - MDF  - 18;PAINEL
78;Murano MDF 1F  - 6;PAINEL
79;Murano - MDF  - 15;PAINEL
80;Murano - MDF  - 18;PAINEL
81;Murano - MDF  - 25;PAINEL
82;Nogueira Boreal MDF 1F  - 6;PAINEL
83;Nogueira Boreal - MDF  - 15;PAINEL
84;Nogueira Boreal - MDF  - 18;PAINEL
85;Nogueira Boreal - MDF  - 25;PAINEL
86;Ameixa Negra - MDF  - 18;PAINEL
87;Marmo - MDF  - 18;PAINEL
88;Petra - MDF  - 18;PAINEL
89;   - 15;PAINEL
90;Amazonia - MDF  - 18;PAINEL
91;Glamour - MDF  - 18;PAINEL
93;Milkshake - MDF  - 18;PAINEL
94;Carv. Mel - MDF  - 15;PAINEL
95;Genérico  - 15;PAINEL
96;Carv. Natural MDF  - 18;PAINEL
97;Fume - MDF - FF  - 3;PAINEL
98;Genérico  - 18;PAINEL
100;Cristallo Borgonha - MDF  - 18;PAINEL
101;Corazzi - MDF  - 18;PAINEL
102;Manhattan - MDF  - 18;PAINEL
103;Gaia - MDF  - 18;PAINEL
104;Genefico MDF 1F  - 6;PAINEL
105;Branco MDF 2F  - 6;PAINEL
106;Chamois - MDF 2F  - 6;PAINEL
107;Espresso MDF 2F  - 6;PAINEL
109;Mocca - MDF 2F  - 6;PAINEL
110;Espresso - MDF  - 18;PAINEL
111;Genérico Capa 15MM  - 15;PAINEL
112;Asti Especial - MDF  - 18;PAINEL
113;Reali - MDF  - 18;PAINEL
114;Vulcano - MDF  - 18;PAINEL
115;Camelo - MDF  - 18;PAINEL
116;Carv. Mel - MDF  - 18;PAINEL
117;Ameixa Negra - MDP  - 18;PAINEL
118;Louro Freijo - MDP  - 18;PAINEL
121;Amazonia - MDF  - 15;PAINEL
122;Quartzo - MDF  - 18;PAINEL
123;Niquel - MDF  - 18;PAINEL
124;Cambiasi  - 18;PAINEL
125;Imbuia - MDF  - 18;PAINEL
126;Corazzi - MDF  - 25;PAINEL
127;Gema de Ovo  - 18;PAINEL
128;Carv. Mel - MDP  - 18;PAINEL
129;Aurora Trama  - 18;PAINEL
130;Cinza Puro - MDF  - 18;PAINEL
131;Cinza Puro - MDP  - 18;PAINEL
