Item	Descrição (Item)	Grupo de itens
10.14.0001	PUXADOR REDONDO 1/2 160MM	PUXADORES
10.14.0002	PUXADOR REDONDO 1/2 256MM	PUXADORES
10.14.0003	PUXADOR REDONDO 1/2 352MM	PUXADORES
10.14.0004	PUXADOR REDONDO 3/8 160MM	PUXADORES
10.14.0005	PUXADOR REDONDO 3/8 256MM	PUXADORES
10.14.0006	PUXADOR REDONDO 3/8 352MM	PUXADORES
10.14.0007	PUXADOR QUADRADO 3/8 160MM	PUXADORES
10.14.0008	PUXADOR QUADRADO 3/8 256MM	PUXADORES
10.14.0009	PUXADOR QUADRADO 3/8 352MM	PUXADORES
10.14.0010	PUXADOR ONDA 160MM ESCOVADO	PUXADORES
10.14.0011	PUXADOR ONDA ESCOVADO 288MM	PUXADORES
10.14.0012	PUXADOR ACUTO ESCOVADO 160MM	PUXADORES
10.14.0013	PUXADOR ACUTO ESCOVADO 224MM	PUXADORES
10.14.0016	PUXADOR 114 PV111 128MM	PUXADORES
10.14.0017	PUXADOR 114 PV111 160MM	PUXADORES
10.14.0018	PUXADOR STRASS 2606 224MM	PUXADORES
10.14.0019	PUXADOR STRASS 2607 384MM	PUXADORES
10.14.0020	PUXADOR STRASS PONTO 2601	PUXADORES
10.14.0021	PUXADOR TRAMADO 1508 256MM	PUXADORES
10.14.0022	PUXADOR FLUO CROMADO 160MM	PUXADORES
10.14.0023	PUXADOR SINGOLO BRANCO 224MM	PUXADORES
10.14.0024	PUXADOR SINGOLO BRANCO 448MM	PUXADORES
10.14.0025	PUXADOR FLUO CROMADO 32MM	PUXADORES
10.14.0032	PUXADOR PIATTO CROMADO 256MM	PUXADORES
10.14.0033	PUXADOR PIATTO CROMADO 160MM	PUXADORES
10.14.0034	PUXADOR PIATTO CROMADO 36MM	PUXADORES
10.14.0035	PUXADOR TERMINI TITANIUM 480MM	PUXADORES
10.14.0036	PUXADOR TERMINI TITANIUM 256MM	PUXADORES
10.14.0037	PUXADOR TERMINI TITANIUM 192MM	PUXADORES
10.14.0038	PUXADOR KUB CROMADO 64MM	PUXADORES
10.14.0039	PUXADOR KUB CROMADO 32MM	PUXADORES
10.14.0040	PUXADOR FORSETI COBRE 256MM	PUXADORES
10.14.0041	PUXADORFORSETI COBRE 160MM	PUXADORES
10.14.0042	PUXADOR NUVOLA ZIANI 160MM	PUXADORES
10.14.0045	PUXADOR H1600 ACO ESCOVADO	PUXADORES
10.14.0046	PUXADOR H1600 LATAO POLIDO	PUXADORES
10.14.0047	PUXADOR H1600 ROSE	PUXADORES
10.14.0048	PUXADOR H1314 CROMADO OURO ROSA	PUXADORES
10.14.0049	PUXADOR H1314 CROMADO TITANIO	PUXADORES
10.14.0050	PUXADOR H1029 CROMADO	PUXADORES
10.14.0051	PUXADOR H1029 PRETO FOSCO	PUXADORES
10.14.0052	PUXADOR H1029 ROSE	PUXADORES
10.14.0053	PUXADOR H1029 OURO GOLD	PUXADORES
10.14.0054	PUXADOR H1047 CROMADO	PUXADORES
10.14.0055	PUXADOR H1047 PRETO FOSCO	PUXADORES
10.14.0056	PUXADOR H1047 ROSE	PUXADORES
10.14.0057	PUXADOR H1047 OURO GOLD	PUXADORES
10.14.0058	PUXADOR H3145 192MM CROMADO	PUXADORES
10.14.0059	PUXADOR H3145 192MM PRETO FOSCO	PUXADORES
10.14.0060	PUXADOR H3145 192MM ROSE	PUXADORES
10.14.0061	PUXADOR H3145 192MM OURO GOLD	PUXADORES
10.14.0062	PUXADOR H3145 288MM CROMADO	PUXADORES
10.14.0063	PUXADOR H3145 288MM PRETO FOSCO	PUXADORES
10.14.0064	PUXADOR H3145 288MM ROSE	PUXADORES
10.14.0065	PUXADOR H3145 288MM OURO GOLD	PUXADORES
10.14.0066	PUXADOR H3201 256MM CROMADO COM STRASS	PUXADORES
10.14.0067	PUXADOR H3201 480MM CROMADO COM STRASS	PUXADORES
10.14.0068	PUXADOR H1181 32MM PRETO STRASS	PUXADORES
10.14.0069	PUXADOR H1181 32MM BRANCO STRASS	PUXADORES
10.14.0070	PUXADOR H1181 256MM PRETO STRASS	PUXADORES
10.14.0071	PUXADOR H1181 256MM BRANCO STRASS	PUXADORES
10.14.0072	PUXADOR H1181 384MM PRETO STRASS	PUXADORES
10.14.0073	PUXADOR H1181 384MM BRANCO STRASS	PUXADORES
10.14.0074	PUXADOR H4021 192MM ANONIZADO - ACO ESCOVADO	PUXADORES
10.14.0075	PUXADOR H4021 256MM ANONIZADO - ACO ESCOVADO	PUXADORES
10.14.0076	PUXADOR GRENADE COBRE VELHO 1764 PONTO	PUXADORES
10.14.0077	PUXADOR GRENADE COBRE VELHO 1767 128MM	PUXADORES
