Cod	Descrição	Grupo de itens
10.15.0003	TAPAFURO 12MM BRANCO	ACABAMENTO
10.15.0015	FILETE MIRANDA BRANCO TX	ACABAMENTO
10.15.0018	MEIA CANA 2700MM	ACABAMENTO
10.15.0021	TAPAFURO 12MM AMEIXA NEGRA	ACABAMENTO
10.15.0027	TAPAFURO 12MM CRISTALLO GIANDUIA	ACABAMENTO
10.15.0035	TAPAFURO 12MM CRISTALLO BRANCO DIAMANTE	ACABAMENTO
10.15.0037	TAPAFURO 12MM LINEO TEXTIL	ACABAMENTO
10.15.0041	TAPA FURO 18MM BRANCO	ACABAMENTO
10.15.0048	TAPAFURO 18MM CHAMOIS	ACABAMENTO
10.15.0049	TAPAFURO 12MM CRISTALLO PRETO	ACABAMENTO
10.15.0051	CANETA CORRETIVA BRANCO	ACABAMENTO
10.15.0054	CANETA CORRETIVA COLL	ACABAMENTO
10.15.0055	CANETA CORRETIVA CARVALHO LATINO	ACABAMENTO
10.15.0057	CANETA CORRETIVA CHAMOIS	ACABAMENTO
10.15.0059	CANETA CORRETIVA PRETO	ACABAMENTO
10.15.0064	CANETA CORRETIVA AMEIXA NEGRA	ACABAMENTO
10.15.0069	CANETA CORRETIVA CRISTALLO BRANCO DIAMANTE	ACABAMENTO
10.15.0070	CANETA CORRETIVA CRISTALLO GIANDUIA	ACABAMENTO
10.15.0071	CANETA CORRETIVA LINEO TEXTIL	ACABAMENTO
10.15.0074	CANETA CORRETIVA CRISTALLO PRETO	ACABAMENTO
10.15.0080	TAMPA PARAFUSO 13MM CREME SCA	ACABAMENTO
10.15.0081	TAMPA PARAFUSO 13MM PRETO	ACABAMENTO
10.15.0085	CANETA CORRETIVA MOCCA MASISA	ACABAMENTO
10.15.0094	CANETA CORRETIVA CARVALHO MEL	ACABAMENTO
10.15.0096	TAPAFURO 12MM CARVALHO MEL	ACABAMENTO
10.15.0097	TAPA FURO 18MM CARVALHO MEL	ACABAMENTO
10.15.0099	TAPAFURO 12MM LOURO FREIJO	ACABAMENTO
10.15.0100	CANETA CORRETIVA LOURO FREIJO	ACABAMENTO
10.15.0101	CANETA CORRETIVA CRISTALLO CINZA SAGRADO	ACABAMENTO
10.15.0102	CANETA CORRETIVA PETRA	ACABAMENTO
10.15.0103	CANETA CORRETIVA MARMO	ACABAMENTO
10.15.0104	TAPA FURO 18MM AMEIXA NEGRA	ACABAMENTO
10.15.0105	TAPAFURO 12MM MARMO	ACABAMENTO
10.15.0106	TAPAFURO 12MM FOG	ACABAMENTO
10.15.0107	TAPAFURO 12MM COBRE	ACABAMENTO
10.15.0108	TAPAFURO 12MM CRISTALLO OPALA	ACABAMENTO
10.15.0109	TAPAFURO 12MM CRISTALLO CINZA SAGRADO	ACABAMENTO
10.15.0110	TAPAFURO 12MM NOGUEIRA CAIENA	ACABAMENTO
10.15.0111	TAPAFURO 12MM FRAPE	ACABAMENTO
10.15.0113	TAPAFURO 12MM PETRA	ACABAMENTO
10.15.0114	TAPAFURO 12MM GRIGIO	ACABAMENTO
10.15.0115	TAPA FURO 18MM GRIGIO	ACABAMENTO
10.15.0116	CANETA CORRETIVA GRIGIO	ACABAMENTO
10.15.0117	TAPAFURO 12MM MILKSHAKE	ACABAMENTO
10.15.0122	CANETA CORRETIVA MILKSHAKE	ACABAMENTO
10.15.0124	CANETA CORRETIVA NOQUEIRA CAIENA	ACABAMENTO
10.15.0125	CANETA CORRETIVA FOG	ACABAMENTO
10.15.0126	CANETA CORRETIVA AZUL PETROLEO	ACABAMENTO
10.15.0127	TAPAFURO 12MM AZUL PETROLEO	ACABAMENTO
10.15.0128	TAPAFURO 12MM BIANCO RAVENA	ACABAMENTO
10.15.0129	TAPAFURO 12MM SANTIAGO	ACABAMENTO
10.15.0130	TAPAFURO 12MM ASTI	ACABAMENTO
10.15.0131	TAPAFURO 12MM GLAMOUR	ACABAMENTO
10.15.0132	TAPA FURO 18MM BIANCO RAVENA	ACABAMENTO
10.15.0133	TAPA FURO 18MM SANTIAGO	ACABAMENTO
10.15.0134	CANETA CORRETIVA BRONZE	ACABAMENTO
10.15.0135	CANETA CORRETIVA ASTI	ACABAMENTO
10.15.0136	CANETA CORRETIVA GLAMOUR	ACABAMENTO
10.15.0137	TAPAFURO 12MM AMAZONIA	ACABAMENTO
10.15.0138	CANETA CORRETIVA SANTIAGO	ACABAMENTO
